Time [s],Value,Parity Error,Framing Error
3.74028075,0x02,,
3.74028741666667,0xA0,,
3.74029408333333,0x02,,
3.78534566666667,0x02,,
3.78535233333333,0x02,,
3.785359,0x00,,
3.78536566666667,0x12,,
3.78537233333333,0x00,,
3.785379,0x0E,,
3.78538566666667,0x00,,
3.78539233333333,0x01,,
3.785399,0x00,,
3.78540566666667,0x05,,
3.78541233333333,0x1D,,
3.785419,0x0A,,
3.78542566666667,0x00,,
3.78543233333333,0x42,,
3.785439,0x00,,
3.78544566666667,0x00,,
3.78545233333333,0x00,,
3.785459,0x00,,
3.78546566666667,0x00,,
3.78547233333333,0x01,,
3.785479,0x02,,
3.78548566666667,0x9B,,
3.78549233333333,0x06,,
3.87055325,0x02,,
3.87055991666667,0x02,,
3.87056666666667,0x00,,
3.87057333333333,0x1B,,
3.87058,0x00,,
3.87058666666667,0x17,,
3.87059333333333,0x00,,
3.8706,0x42,,
3.87060666666667,0x00,,
3.87061333333333,0x07,,
3.87062,0x00,,
3.87062666666667,0x41,,
3.87063333333333,0x00,,
3.87064,0x12,,
3.87064666666667,0x00,,
3.87065333333333,0x0F,,
3.87066,0x35,,
3.87066666666667,0x0D,,
3.87067333333333,0x35,,
3.87068,0x0B,,
3.87068666666667,0x09,,
3.87069333333333,0x00,,
3.8707,0x01,,
3.87070666666667,0x35,,
3.87071333333333,0x06,,
3.87072,0x19,,
3.87072666666667,0x11,,
3.87073333333333,0x1E,,
3.87074,0x19,,
3.87074666666667,0x12,,
3.87075333333333,0x03,,
3.87076,0x00,,
3.94914866666667,0x02,,
3.94915533333333,0x02,,
3.949162,0x00,,
3.94916866666667,0x21,,
3.94917533333333,0x00,,
3.949182,0x1D,,
3.94918866666667,0x00,,
3.94919533333333,0x42,,
3.949202,0x00,,
3.94920866666667,0x07,,
3.94921541666667,0x00,,
3.94922208333333,0x42,,
3.94922875,0x00,,
3.94923541666667,0x18,,
3.94924208333333,0x00,,
3.94924875,0x15,,
3.94925541666667,0x35,,
3.94926208333333,0x13,,
3.94926875,0x35,,
3.94927541666667,0x11,,
3.94928208333333,0x09,,
3.94928875,0x00,,
3.94929541666667,0x04,,
3.94930208333333,0x35,,
3.94930875,0x0C,,
3.94931541666667,0x35,,
3.94932208333333,0x03,,
3.94932875,0x19,,
3.94933541666667,0x01,,
3.94934208333333,0x00,,
3.94934875,0x35,,
3.94935541666667,0x05,,
3.94936208333333,0x19,,
3.94936875,0x00,,
3.94937541666667,0x03,,
3.94938208333333,0x08,,
3.94938875,0x01,,
3.94939541666667,0x00,,
4.02912133333333,0x02,,
4.029128,0x02,,
4.02913466666667,0x00,,
4.02914133333333,0x1D,,
4.029148,0x00,,
4.02915466666667,0x19,,
4.02916133333333,0x00,,
4.029168,0x42,,
4.02917466666667,0x00,,
4.02918133333333,0x07,,
4.029188,0x00,,
4.02919466666667,0x43,,
4.02920133333333,0x00,,
4.029208,0x14,,
4.02921466666667,0x00,,
4.02922133333333,0x11,,
4.029228,0x35,,
4.02923466666667,0x0F,,
4.02924133333333,0x35,,
4.029248,0x0D,,
4.02925466666667,0x09,,
4.02926133333333,0x00,,
4.029268,0x09,,
4.02927466666667,0x35,,
4.02928133333333,0x08,,
4.029288,0x35,,
4.02929466666667,0x06,,
4.02930133333333,0x19,,
4.029308,0x11,,
4.02931466666667,0x1E,,
4.02932133333333,0x09,,
4.029328,0x01,,
4.02933466666667,0x06,,
4.02934133333333,0x00,,
4.10912683333333,0x02,,
4.1091335,0x02,,
4.10914016666667,0x00,,
4.10914683333333,0x16,,
4.1091535,0x00,,
4.10916016666667,0x12,,
4.10916683333333,0x00,,
4.1091735,0x42,,
4.10918016666667,0x00,,
4.10918691666667,0x07,,
4.10919358333333,0x00,,
4.10920025,0x44,,
4.10920691666667,0x00,,
4.10921358333333,0x0D,,
4.10922025,0x00,,
4.10922691666667,0x0A,,
4.10923358333333,0x35,,
4.10924025,0x08,,
4.10924691666667,0x35,,
4.10925358333333,0x06,,
4.10926025,0x09,,
4.10926691666667,0x03,,
4.10927358333333,0x11,,
4.10928025,0x09,,
4.10928691666667,0x00,,
4.10929358333333,0x1E,,
4.10930025,0x00,,
4.176111,0x02,,
4.17611766666667,0x02,,
4.17612433333333,0x00,,
4.176131,0x0C,,
4.17613766666667,0x00,,
4.17614433333333,0x08,,
4.176151,0x00,,
4.17615766666667,0x01,,
4.17616433333333,0x00,,
4.176171,0x07,,
4.17617766666667,0x1E,,
4.17618433333333,0x04,,
4.176191,0x00,,
4.17619766666667,0x49,,
4.17620433333333,0x00,,
4.176211,0x42,,
4.17621766666667,0x00,,
4.25479533333333,0x02,,
4.254802,0x02,,
4.25480866666667,0x00,,
4.25481533333333,0x10,,
4.254822,0x00,,
4.25482866666667,0x0C,,
4.25483533333333,0x00,,
4.254842,0x01,,
4.25484866666667,0x00,,
4.25485533333333,0x03,,
4.254862,0x1F,,
4.25486866666667,0x08,,
4.25487533333333,0x00,,
4.254882,0x4A,,
4.25488866666667,0x00,,
4.25489533333333,0x41,,
4.254902,0x00,,
4.25490866666667,0x00,,
4.25491533333333,0x00,,
4.254922,0x00,,
4.25492866666667,0x00,,
4.25496541666667,0x02,,
4.25497208333333,0x02,,
4.25497875,0x00,,
4.25498541666667,0x10,,
4.25499208333333,0x00,,
4.25499875,0x0C,,
4.25500541666667,0x00,,
4.25501208333333,0x01,,
4.25501875,0x00,,
4.25502541666667,0x04,,
4.25503208333333,0x11,,
4.25503875,0x08,,
4.25504541666667,0x00,,
4.25505208333333,0x41,,
4.25505875,0x00,,
4.25506541666667,0x00,,
4.25507208333333,0x00,,
4.25507875,0x01,,
4.25508541666667,0x02,,
4.25509208333333,0x40,,
4.25509875,0x06,,
4.30756108333333,0x02,,
4.30756775,0x02,,
4.30757441666667,0x00,,
4.30758108333333,0x12,,
4.30758775,0x00,,
4.3075945,0x0E,,
4.30760116666667,0x00,,
4.30760783333333,0x01,,
4.3076145,0x00,,
4.30762116666667,0x05,,
4.30762783333333,0x20,,
4.3076345,0x0A,,
4.30764116666667,0x00,,
4.30764783333333,0x41,,
4.3076545,0x00,,
4.30766116666667,0x00,,
4.30766783333333,0x00,,
4.3076745,0x00,,
4.30768116666667,0x00,,
4.30768783333333,0x01,,
4.3076945,0x02,,
4.30770116666667,0xE3,,
4.30770783333333,0x03,,
4.35452058333333,0x02,,
4.35452725,0x02,,
4.354534,0x00,,
4.35454066666667,0x08,,
4.35454733333333,0x00,,
4.354554,0x04,,
4.35456066666667,0x00,,
4.35456733333333,0x41,,
4.354574,0x00,,
4.35458066666667,0x03,,
4.35458733333333,0x73,,
4.354594,0x01,,
4.35460066666667,0xD7,,
4.40579725,0x02,,
4.40580391666667,0x02,,
4.40581058333333,0x00,,
4.40581725,0x12,,
4.40582391666667,0x00,,
4.40583058333333,0x0E,,
4.40583725,0x00,,
4.40584391666667,0x41,,
4.40585058333333,0x00,,
4.40585725,0x01,,
4.40586391666667,0xEF,,
4.40587058333333,0x15,,
4.40587725,0x81,,
4.40588391666667,0x11,,
4.40589058333333,0x02,,
4.40589725,0xE0,,
4.40590391666667,0x00,,
4.40591058333333,0x00,,
4.40591725,0x00,,
4.40592391666667,0x01,,
4.40593058333333,0x00,,
4.40593725,0x07,,
4.40594391666667,0xAA,,
4.49795675,0x02,,
4.49796341666667,0x02,,
4.49797008333333,0x00,,
4.49797683333333,0x08,,
4.4979835,0x00,,
4.49799016666667,0x04,,
4.49799683333333,0x00,,
4.4980035,0x41,,
4.49801016666667,0x00,,
4.49801683333333,0x0B,,
4.4980235,0x73,,
4.49803016666667,0x01,,
4.49803683333333,0x92,,
4.49813033333333,0x02,,
4.498137,0x02,,
4.49814366666667,0x00,,
4.49815033333333,0x0C,,
4.498157,0x00,,
4.49816366666667,0x08,,
4.49817033333333,0x00,,
4.498177,0x41,,
4.49818366666667,0x00,,
4.49819033333333,0x01,,
4.498197,0xEF,,
4.49820366666667,0x09,,
4.49821033333333,0xE3,,
4.498217,0x05,,
4.49822366666667,0x0B,,
4.49823033333333,0x8D,,
4.498237,0xAA,,
4.54578891666667,0x02,,
4.54579558333333,0x02,,
4.54580225,0x00,,
4.54580891666667,0x0C,,
4.54581558333333,0x00,,
4.54582225,0x08,,
4.54582891666667,0x00,,
4.54583558333333,0x41,,
4.54584225,0x00,,
4.54584891666667,0x01,,
4.54585558333333,0xEF,,
4.54586225,0x09,,
4.54586891666667,0xE1,,
4.54587558333333,0x05,,
4.54588225,0x0B,,
4.54588891666667,0x8D,,
4.54589558333333,0xAA,,
4.58573591666667,0x02,,
4.58574258333333,0x02,,
4.58574925,0x20,,
4.58575591666667,0x14,,
4.58576258333333,0x00,,
4.58576925,0x10,,
4.58577591666667,0x00,,
4.58578266666667,0x41,,
4.58578933333333,0x00,,
4.585796,0x09,,
4.58580266666667,0xEF,,
4.58580933333333,0x19,,
4.585816,0x41,,
4.58582266666667,0x54,,
4.58582933333333,0x2B,,
4.585836,0x42,,
4.58584266666667,0x52,,
4.58584933333333,0x53,,
4.585856,0x46,,
4.58586266666667,0x3D,,
4.58586933333333,0x31,,
4.585876,0x32,,
4.58588266666667,0x36,,
4.58588933333333,0x0D,,
4.585896,0x40,,
4.63182058333333,0x02,,
4.63182725,0x02,,
4.63183391666667,0x00,,
4.63184058333333,0x10,,
4.63184725,0x00,,
4.63185391666667,0x0C,,
4.63186058333333,0x00,,
4.63186725,0x01,,
4.63187391666667,0x00,,
4.63188058333333,0x03,,
4.63188725,0x21,,
4.63189391666667,0x08,,
4.63190058333333,0x00,,
4.63190733333333,0x4B,,
4.631914,0x00,,
4.63192066666667,0x42,,
4.63192733333333,0x00,,
4.631934,0x00,,
4.63194066666667,0x00,,
4.63194733333333,0x00,,
4.631954,0x00,,
4.63198933333333,0x02,,
4.631996,0x02,,
4.63200266666667,0x00,,
4.63200933333333,0x10,,
4.632016,0x00,,
4.63202266666667,0x0C,,
4.63202933333333,0x00,,
4.632036,0x01,,
4.63204266666667,0x00,,
4.63204933333333,0x04,,
4.632056,0x12,,
4.63206266666667,0x08,,
4.63206933333333,0x00,,
4.632076,0x42,,
4.63208266666667,0x00,,
4.63208933333333,0x00,,
4.632096,0x00,,
4.63210266666667,0x01,,
4.63210933333333,0x02,,
4.632116,0xA0,,
4.63212266666667,0x02,,
4.67172825,0x02,,
4.67173491666667,0x02,,
4.67174158333333,0x20,,
4.67174825,0x12,,
4.67175491666667,0x00,,
4.67176158333333,0x0E,,
4.67176825,0x00,,
4.67177491666667,0x41,,
4.67178158333333,0x00,,
4.67178825,0x09,,
4.67179491666667,0xEF,,
4.67180158333333,0x15,,
4.67180825,0x41,,
4.67181491666667,0x54,,
4.67182158333333,0x2B,,
4.67182825,0x43,,
4.67183491666667,0x49,,
4.67184166666667,0x4E,,
4.67184833333333,0x44,,
4.671855,0x3D,,
4.67186166666667,0x3F,,
4.67186833333333,0x0D,,
4.67187491666667,0x40,,
4.68430166666667,0x02,,
4.68430833333333,0x02,,
4.684315,0x00,,
4.68432166666667,0x12,,
4.68432833333333,0x00,,
4.684335,0x0E,,
4.68434166666667,0x00,,
4.68434833333333,0x01,,
4.684355,0x00,,
4.68436166666667,0x05,,
4.68436833333333,0x22,,
4.684375,0x0A,,
4.68438166666667,0x00,,
4.68438833333333,0x42,,
4.684395,0x00,,
4.68440166666667,0x00,,
4.68440833333333,0x00,,
4.684415,0x00,,
4.68442166666667,0x00,,
4.68442833333333,0x01,,
4.684435,0x02,,
4.68444166666667,0x9B,,
4.68444833333333,0x06,,
4.73885458333333,0x02,,
4.73886125,0x02,,
4.73886791666667,0x20,,
4.73887458333333,0x11,,
4.73888125,0x00,,
4.73888791666667,0x0D,,
4.73889458333333,0x00,,
4.73890125,0x41,,
4.73890791666667,0x00,,
4.73891458333333,0x09,,
4.73892125,0xEF,,
4.73892791666667,0x13,,
4.73893458333333,0x41,,
4.73894125,0x54,,
4.73894791666667,0x2B,,
4.73895458333333,0x43,,
4.73896125,0x49,,
4.73896791666667,0x4E,,
4.73897458333333,0x44,,
4.73898125,0x3F,,
4.73898791666667,0x0D,,
4.73899458333333,0x40,,
4.78175633333333,0x02,,
4.781763,0x02,,
4.78176966666667,0x00,,
4.78177633333333,0x1D,,
4.781783,0x00,,
4.78178966666667,0x19,,
4.78179633333333,0x00,,
4.781803,0x42,,
4.78180966666667,0x00,,
4.78181633333333,0x07,,
4.781823,0x00,,
4.78182966666667,0x45,,
4.78183633333333,0x00,,
4.781843,0x14,,
4.78184966666667,0x00,,
4.78185633333333,0x11,,
4.781863,0x35,,
4.78186966666667,0x0F,,
4.78187633333333,0x35,,
4.781883,0x0D,,
4.78188966666667,0x09,,
4.78189633333333,0x00,,
4.781903,0x09,,
4.78190966666667,0x35,,
4.78191633333333,0x08,,
4.781923,0x35,,
4.78192966666667,0x06,,
4.78193633333333,0x19,,
4.781943,0x11,,
4.78194966666667,0x0D,,
4.78195633333333,0x09,,
4.781963,0x01,,
4.78196966666667,0x02,,
4.78197633333333,0x00,,
4.81896075,0x02,,
4.81896741666667,0x02,,
4.81897408333333,0x20,,
4.81898075,0x19,,
4.81898741666667,0x00,,
4.81899408333333,0x15,,
4.81900075,0x00,,
4.81900741666667,0x41,,
4.81901408333333,0x00,,
4.81902075,0x09,,
4.81902741666667,0xFF,,
4.81903408333333,0x21,,
4.81904083333333,0x01,,
4.8190475,0x41,,
4.81905416666667,0x54,,
4.81906083333333,0x2B,,
4.8190675,0x43,,
4.81907416666667,0x4D,,
4.81908083333333,0x45,,
4.8190875,0x52,,
4.81909416666667,0x3D,,
4.81910083333333,0x33,,
4.8191075,0x2C,,
4.81911416666667,0x30,,
4.81912083333333,0x2C,,
4.8191275,0x30,,
4.81913416666667,0x2C,,
4.81914083333333,0x31,,
4.8191475,0x0D,,
4.81915416666667,0x5C,,
4.86522083333333,0x02,,
4.8652275,0x02,,
4.86523416666667,0x00,,
4.86524083333333,0x10,,
4.8652475,0x00,,
4.86525416666667,0x0C,,
4.86526083333333,0x00,,
4.8652675,0x01,,
4.86527416666667,0x00,,
4.86528083333333,0x03,,
4.8652875,0x23,,
4.86529416666667,0x08,,
4.86530083333333,0x00,,
4.8653075,0x4C,,
4.86531416666667,0x00,,
4.86532083333333,0x43,,
4.8653275,0x00,,
4.86533416666667,0x00,,
4.86534083333333,0x00,,
4.8653475,0x00,,
4.86535416666667,0x00,,
4.8653885,0x02,,
4.86539516666667,0x02,,
4.86540183333333,0x00,,
4.8654085,0x10,,
4.86541516666667,0x00,,
4.86542183333333,0x0C,,
4.8654285,0x00,,
4.86543516666667,0x01,,
4.86544183333333,0x00,,
4.8654485,0x04,,
4.86545516666667,0x13,,
4.86546183333333,0x08,,
4.8654685,0x00,,
4.86547516666667,0x43,,
4.86548183333333,0x00,,
4.8654885,0x00,,
4.86549516666667,0x00,,
4.86550191666667,0x01,,
4.86550858333333,0x02,,
4.86551525,0xA0,,
4.86552191666667,0x02,,
4.89609741666667,0x02,,
4.89610408333333,0x02,,
4.89611075,0x00,,
4.89611741666667,0x0C,,
4.89612408333333,0x00,,
4.89613075,0x08,,
4.89613741666667,0x00,,
4.89614408333333,0x01,,
4.89615075,0x00,,
4.89615741666667,0x07,,
4.89616408333333,0x24,,
4.89617075,0x04,,
4.89617741666667,0x00,,
4.89618408333333,0x4B,,
4.89619075,0x00,,
4.89619741666667,0x42,,
4.89620408333333,0x00,,
4.95757791666667,0x02,,
4.95758458333333,0x02,,
4.95759125,0x20,,
4.95759791666667,0x13,,
4.95760458333333,0x00,,
4.95761125,0x0F,,
4.95761791666667,0x00,,
4.95762458333333,0x41,,
4.95763125,0x00,,
4.95763791666667,0x09,,
4.95764458333333,0xFF,,
4.95765125,0x15,,
4.95765791666667,0x01,,
4.95766458333333,0x41,,
4.95767125,0x54,,
4.95767791666667,0x2B,,
4.95768458333333,0x43,,
4.95769125,0x48,,
4.95769791666667,0x4C,,
4.95770458333333,0x44,,
4.95771125,0x3D,,
4.95771791666667,0x3F,,
4.95772458333333,0x0D,,
4.95773125,0x5C,,
4.96884891666667,0x02,,
4.96885558333333,0x02,,
4.96886225,0x00,,
4.96886891666667,0x12,,
4.96887558333333,0x00,,
4.96888225,0x0E,,
4.96888891666667,0x00,,
4.96889558333333,0x01,,
4.96890225,0x00,,
4.96890891666667,0x05,,
4.96891558333333,0x25,,
4.96892225,0x0A,,
4.96892891666667,0x00,,
4.96893558333333,0x43,,
4.96894225,0x00,,
4.96894891666667,0x00,,
4.96895558333333,0x00,,
4.96896225,0x00,,
4.96896891666667,0x00,,
4.96897558333333,0x01,,
4.96898225,0x02,,
4.96898891666667,0x9B,,
4.96899558333333,0x06,,
5.05146725,0x02,,
5.05147391666667,0x02,,
5.05148058333333,0x20,,
5.05148725,0x15,,
5.05149391666667,0x00,,
5.05150066666667,0x11,,
5.05150733333333,0x00,,
5.051514,0x41,,
5.05152066666667,0x00,,
5.05152733333333,0x09,,
5.051534,0xFF,,
5.05154066666667,0x19,,
5.05154733333333,0x02,,
5.051554,0x41,,
5.05156066666667,0x54,,
5.05156733333333,0x2B,,
5.051574,0x43,,
5.05158066666667,0x4F,,
5.05158733333333,0x50,,
5.051594,0x53,,
5.05160066666667,0x3D,,
5.05160733333333,0x33,,
5.051614,0x2C,,
5.05162066666667,0x30,,
5.05162733333333,0x0D,,
5.051634,0x5C,,
5.05626241666667,0x02,,
5.05626908333333,0x02,,
5.05627575,0x00,,
5.05628241666667,0x0A,,
5.05628908333333,0x00,,
5.05629583333333,0x06,,
5.0563025,0x00,,
5.05630916666667,0x43,,
5.05631583333333,0x00,,
5.0563225,0x02,,
5.05632916666667,0x01,,
5.05633583333333,0x04,,
5.0563425,0x08,,
5.05634916666667,0x08,,
5.05635583333333,0x08,,
5.12006075,0x02,,
5.12006741666667,0x02,,
5.12007408333333,0x20,,
5.12008075,0x12,,
5.12008741666667,0x00,,
5.12009408333333,0x0E,,
5.12010075,0x00,,
5.12010741666667,0x41,,
5.12011408333333,0x00,,
5.12012075,0x09,,
5.12012741666667,0xFF,,
5.12013408333333,0x13,,
5.12014075,0x01,,
5.12014741666667,0x41,,
5.12015408333333,0x54,,
5.12016075,0x2B,,
5.12016741666667,0x43,,
5.12017408333333,0x4F,,
5.12018075,0x50,,
5.12018741666667,0x53,,
5.12019408333333,0x3F,,
5.12020075,0x0D,,
5.12020741666667,0x5C,,
5.124818,0x02,,
5.12482466666667,0x02,,
5.12483133333333,0x00,,
5.124838,0x10,,
5.12484466666667,0x00,,
5.12485133333333,0x0C,,
5.124858,0x00,,
5.12486466666667,0x43,,
5.12487133333333,0x00,,
5.124878,0x12,,
5.12488466666667,0x02,,
5.12489133333333,0x01,,
5.124898,0x00,,
5.12490466666667,0x07,,
5.12491133333333,0x06,,
5.124918,0x00,,
5.12492466666667,0x00,,
5.12493133333333,0xFF,,
5.124938,0xFF,,
5.12494466666667,0x02,,
5.12495133333333,0x35,,
5.20747425,0x02,,
5.20748091666667,0x02,,
5.20748758333333,0x20,,
5.20749425,0x13,,
5.20750091666667,0x00,,
5.20750758333333,0x0F,,
5.20751425,0x00,,
5.20752091666667,0x41,,
5.20752758333333,0x00,,
5.20753425,0x09,,
5.20754091666667,0xFF,,
5.20754758333333,0x15,,
5.20755425,0x02,,
5.20756091666667,0x41,,
5.20756758333333,0x54,,
5.20757425,0x2B,,
5.20758091666667,0x43,,
5.20758758333333,0x4D,,
5.20759425,0x45,,
5.20760091666667,0x45,,
5.20760758333333,0x3D,,
5.20761425,0x31,,
5.20762091666667,0x0D,,
5.20762758333333,0x5C,,
5.22959083333333,0x02,,
5.2295975,0x02,,
5.22960416666667,0x00,,
5.22961083333333,0x06,,
5.2296175,0x00,,
5.22962416666667,0x02,,
5.22963083333333,0x00,,
5.2296375,0x43,,
5.22964416666667,0x00,,
5.22965083333333,0x22,,
5.2296575,0x03,,
5.29621383333333,0x02,,
5.2962205,0x02,,
5.29622716666667,0x00,,
5.29623383333333,0x0C,,
5.2962405,0x00,,
5.29624716666667,0x08,,
5.29625383333333,0x00,,
5.2962605,0x01,,
5.29626716666667,0x00,,
5.29627383333333,0x02,,
5.2962805,0x14,,
5.29628716666667,0x04,,
5.29629383333333,0x00,,
5.2963005,0x17,,
5.29630716666667,0x00,,
5.29631383333333,0x4D,,
